Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60879779,"Everyone in My Family Has Killed Someone (Ernest Cunningham, #1)",Benjamin   Stevenson,"Stevenson, Benjamin",,"=""0063279029""","=""9780063279025""",2,3.79,Mariner Books,Hardcover,371,2023,2022,2024/08/19,2024/08/08,,,read,Could not tell you a single plot detail ,,,1,0
200982383,"Five Broken Blades (The Broken Blades, #1)",Mai Corland,"Corland, Mai",,"=""1649376901""","=""9781649376909""",0,3.85,Entangled: Red Tower Books,Hardcover,474,2024,2024,,2024/08/15,currently-reading,currently-reading (#3),currently-reading,,,,1,0
40916679,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"Jackson, Holly",,"=""1405293187""","=""9781405293181""",4,4.32,Electric Monkey,Paperback,433,2019,2019,2024/08/08,2024/08/08,,,read,,,,1,0
199116301,"A Talent for Murder (Henry Kimball/Lily Kintner, #3)",Peter  Swanson,"Swanson, Peter",,"=""0063205033""","=""9780063205031""",3,3.61,William Morrow,Hardcover,255,2024,2024,2024/07/30,2024/07/28,,,read,,,,1,0
126918202,Diavola,Jennifer Marie Thorne,"Thorne, Jennifer Marie",,"=""""","=""""",5,3.95,Tor Nightfire,Kindle Edition,296,2024,2024,2024/07/28,2024/07/28,,,read,,,,1,0
60321515,The Other Side of Night,Adam Hamdy,"Hamdy, Adam",,"=""1982196181""","=""9781982196189""",0,3.52,Atria Books,Hardcover,304,2022,2022,,2024/05/03,to-read,to-read (#97),to-read,,,,1,0
57010080,Lute,Jennifer Marie Thorne,"Thorne, Jennifer Marie",,"=""125082608X""","=""9781250826084""",0,3.62,Tor Nightfire,Hardcover,274,2022,2022,,2024/07/28,to-read,to-read (#96),to-read,,,,0,0
212127083,"Quicksilver (Fae & Alchemy, #1)",Callie Hart,"Hart, Callie",,"=""""","=""""",0,4.47,Counterattack Publishing,ebook,588,2024,2024,,2024/07/21,to-read,to-read (#95),to-read,,,,0,0
181344829,Bride,Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",3,4.04,Berkley,Kindle Edition,410,2024,2024,2024/07/21,2024/07/14,,,read,,,,1,0
199798953,One Perfect Couple,Ruth Ware,"Ware, Ruth",,"=""1668025590""","=""9781668025598""",4,3.69,Scout Press,Hardcover,385,2024,2024,2024/07/14,2024/07/14,,,read,,,,1,0
65650229,Wellness,Nathan  Hill,"Hill, Nathan",,"=""0593536118""","=""9780593536117""",0,4.00,Knopf,Hardcover,611,2023,2023,,2024/07/08,currently-reading,currently-reading (#2),currently-reading,,,,1,0
157062582,"The Mystery Guest (Molly the Maid, #2)",Nita Prose,"Prose, Nita",,"=""0593356187""","=""9780593356180""",2,3.83,Ballantine Books,Hardcover,293,2023,2023,2024/07/03,2024/06/15,,,read,,,,1,0
198824732,"Spookily Yours (Witches of Pleasant Grove, #1)",Jennifer Chipman,"Chipman, Jennifer",,"=""""","=""""",0,3.51,,Kindle Edition,246,2023,2023,,2024/06/30,to-read,to-read (#94),to-read,,,,0,0
76715522,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639731067""","=""9781639731060""",4,4.70,Bloomsbury Publishing,Hardcover,984,2023,2018,2024/06/23,2024/06/15,,,read,,,,1,0
52867387,Beach Read,Emily Henry,"Henry, Emily",,"=""""","=""""",5,4.00,Berkley,Paperback,361,2020,2020,2024/06/19,2022/03/02,,,read,,,,1,0
76714487,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639731040""","=""9781639731046""",4,4.27,Bloomsbury Publishing,Hardcover,663,2023,2017,2024/06/03,2024/06/02,,,read,,,,1,0
76713323,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639731024""","=""9781639731022""",4,4.63,Bloomsbury Publishing,Hardcover,693,2023,2016,2024/06/03,2024/06/02,,,read,,,,1,0
59811242,The Stars Did Wander Darkling,Colin Meloy,"Meloy, Colin",,"=""006301551X""","=""9780063015517""",0,3.70,Balzer + Bray,Hardcover,336,2022,2022,,2024/05/25,to-read,to-read (#93),to-read,,,,0,0
32075854,"Magpie Murders (Susan Ryeland, #1)",Anthony Horowitz,"Horowitz, Anthony",,"=""0062645226""","=""9780062645227""",0,3.95,Harper,Hardcover,477,2017,2016,,2024/05/25,to-read,to-read (#92),to-read,,,,0,0
76707900,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639731008""","=""9781639731008""",5,4.61,Bloomsbury Publishing,Hardcover,648,2023,2015,2024/05/14,2024/05/03,,,read,,,,1,0
25935854,The Seventh Bride,T. Kingfisher,"Kingfisher, T.",,"=""150394767X""","=""9781503947672""",3,3.93,47North,Kindle Edition,237,2015,2014,2024/05/11,2024/05/11,,,read,,,,1,0
60784305,Untethered Sky,Fonda Lee,"Lee, Fonda",,"=""1250842468""","=""9781250842466""",0,3.89,Tordotcom,Hardcover,150,2023,2023,,2024/05/03,to-read,to-read (#91),to-read,,,,0,0
127279000,Listen for the Lie,Amy Tintera,"Tintera, Amy",,"=""1250880319""","=""9781250880314""",3,4.13,Celadon Books,Hardcover,336,2024,2024,2024/05/03,2024/04/25,,,read,,,,1,0
126062562,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,"Maas, Sarah J.",,"=""1619632217""","=""9781619632219""",0,4.22,Bloomsbury Children’s Books,ebook,451,2023,2014,,2024/04/30,to-read,to-read (#90),to-read,,,,1,0
76706470,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",5,4.46,Bloomsbury USA Childrens,Hardcover,576,2023,2014,2024/04/25,2024/04/25,,,read,,,,1,0
76705490,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639730966""","=""9781639730964""",4,4.36,Bloomsbury Publishing,Hardcover,420,2023,2013,2024/04/07,2024/03/26,,,read,,,,1,0
176451879,"Kill for Me, Kill for You",Steve Cavanagh,"Cavanagh, Steve",,"=""1668049341""","=""9781668049341""",3,4.20,Atria Books,Hardcover,340,2024,2023,2024/04/07,2024/03/26,,,read,,,,1,0
100183621,The Unmaking of June Farrow,Adrienne Young,"Young, Adrienne",,"=""0593598687""","=""9780593598689""",5,4.17,Dell,Kindle Edition,321,2023,2023,2024/02/22,2024/02/15,god-tier,god-tier (#6),read,,,,2,0
34076952,"The Language of Thorns: Midnight Tales and Dangerous Magic (Grishaverse, #0.5, 2.5, 2.6)",Leigh Bardugo,"Bardugo, Leigh",Sara Kipin,"=""125012252X""","=""9781250122520""",0,4.29,Imprint,Hardcover,281,2017,2017,,2024/04/05,currently-reading,currently-reading (#1),currently-reading,,,,1,0
123206645,The Fury,Alex Michaelides,"Michaelides, Alex",,"=""125075898X""","=""9781250758989""",3,3.38,Celadon Books,Hardcover,298,2024,2024,2024/03/26,2024/03/26,,,read,,,,1,0
150275773,"Feather (Angels of Elysium, #1)",Olivia Wildenstein,"Wildenstein, Olivia",,"=""""","=""""",0,3.92,WildStone Publishing ,Kindle Edition,440,2020,2019,,2024/02/28,to-read,to-read (#89),to-read,,,,0,0
44012880,"Fable (The World of the Narrows, #1)",Adrienne Young,"Young, Adrienne",,"=""""","=""""",0,4.02,Wednesday Books,Hardcover,357,2020,2020,,2024/02/27,to-read,to-read (#88),to-read,,,,0,0
